4.1,4.3,4.3,3.9,4.1,4.1,4.17,4.2
4.6,3.9,3.4,3.7,4.15,3.92,4.05,4.03
4,4,4,3.5,3.5,3.67,3.83,3.75
4.3,4,3.3,3.6,3.7,3.77,3.77,3.85
4.1,4.3,3.7,3,3.1,3.47,3.63,3.7
3.5,4.7,4.8,4.8,4.55,4.68,4.28,4.63
4,4.4,4.4,4.4,4.4,4.4,4.27,4.4
4.3,4.4,4.2,4,4.15,4.18,4.22,4.28
4.3,4.3,4.3,3.7,3.8,3.93,4.13,4.05
4.3,3.5,2.7,2.9,3.25,3.22,3.42,3.38
1.6,4.5,4.5,4.9,4.7,4.7,3.6,4.6
3.3,4,4,3.8,3.3,3.7,3.53,3.65
2.8,3.7,3.7,4.1,4.5,4.1,3.67,4.1
4.6,4.1,3.4,3.6,3.7,3.8,3.9,3.9
4.3,4.6,4.6,3.9,3.7,4.07,4.2,4.15
4.1,4.3,3.6,4.2,4.45,4.32,4.05,4.38
1.6,4.1,4.7,4.8,4.4,4.43,3.57,4.25
4,4,4,2,3.25,3.08,3.75,3.63
3,2.7,2.7,3.6,4.2,3.5,3.3,3.45
3,3,3,2.5,3,2.83,3,3
3.5,3.5,3.5,1,2,2.17,3,2.75
4.7,4.4,4.4,3.7,4,4.03,4.37,4.2
4,4,4,1,4,3,4,4
3.5,3.5,3.5,3,4,3.5,3.67,3.75
4.5,4.1,4.1,3.2,3.4,3.57,4,3.75
3.6,3.4,3.2,3.3,3.45,3.38,3.42,3.43
3.3,4,4,3.8,3.3,3.7,3.53,3.65
4.4,4.3,4,4.1,3.7,4.03,4.03,4
4.1,4.3,3.6,4.2,4.45,4.32,4.05,4.38
4.3,3.9,3.4,3.3,2.7,3.3,3.47,3.3
5,5,5,3,4,4,4.67,4.5
5,5,5,4,5,4.67,5,5
4,3.5,3.5,2.4,2.4,2.77,3.3,2.95
3.8,4.3,4.6,4.7,4.7,4.57,4.37,4.5
3.7,3.6,3.6,3,3.3,3.3,3.53,3.45
4.4,4.1,4.1,3,3.2,3.43,3.9,3.65
1.9,3.6,4.5,4.7,4.5,4.27,3.63,4.05
4.5,4,4,4.2,4,4.07,4.17,4
3.3,4,4,3.8,3.3,3.7,3.53,3.65
3.8,3.6,3.1,3.1,3.75,3.48,3.55,3.68
4.3,4.8,4.8,4.6,4.7,4.7,4.6,4.75
3.7,4.5,4.4,4.5,4.4,4.47,4.17,4.45
2.6,4.4,4.9,4.9,4.4,4.57,3.97,4.4
2.8,4,4,4.7,4.7,4.47,3.83,4.35
4,4,4,2,4,3.33,4,4
3.6,3.4,3.4,2.8,2.6,2.93,3.2,3